method,label,model_count,record_count,normalized_rmse_mean,normalized_rmse_std,data_misfit_mean,data_misfit_std,crps_mean,crps_std,calibrated_coverage_95_mean,calibrated_coverage_95_std,calibrated_coverage_error_mean,calibrated_coverage_error_std,calibrated_gaussian_crps_mean,calibrated_gaussian_crps_std,std_error_spearman_mean,std_error_spearman_std,ause_mean,ause_std,physics_evaluations_mean,physics_evaluations_std,wall_seconds_mean,wall_seconds_std
nn,Neural inverse,20,60,0.0850989036882917,0.020167577556683337,0.1613792603214582,0.04554504521590522,,,,,,,,,,,,,1.0,0.0,0.6639509439468384,0.10974579201535437
mc_dropout,MC dropout,20,60,0.08502548427067129,0.01992921345886931,0.16091036268820366,0.04561737023725423,0.05417191241801372,0.014818464180808654,0.9330635070800781,0.05626780688548025,0.04208063761393228,0.041013788195351675,0.04361910511863362,0.00994042008663691,0.3128092800165642,0.17882510928464856,0.018103229739150295,0.006607432447750253,1.0,0.0,0.9347188591957092,0.12574108893693534
deep_ensemble,Deep ensemble,20,60,0.08165620385089878,0.019887529734669483,0.1498673452064395,0.04444392259163002,0.04951821999685701,0.014441811265012428,0.9407681783040365,0.0412310772813246,0.03752609252929687,0.01941701946971454,0.044241812629814414,0.009323421625410794,0.3002834311255677,0.18032901903529253,0.01800920180231793,0.006526134086321286,1.0,0.0,0.7438440322875977,0.12167684842726587
residual_map,Residual MAP,20,60,0.08554909527301788,0.020245299123110978,0.15830568795402844,0.04550820137966539,,,,,,,,,,,,,7.0,0.0,9.129166917006176,1.1746923058923502
residual_laplace,Residual Laplace,20,60,0.08553750039537669,0.020138838287747513,0.15930420539031426,0.04584137519515924,0.04578036002633064,0.011983492334212668,0.9448135375976563,0.04980433752990382,0.033846944173177095,0.03690197554577999,0.048153158253716286,0.009207704696254848,0.22196981377013272,0.23645839932995694,0.022099037476406867,0.00872540683608583,31.0,0.0,25.64585646788279,3.914557026787023
neural_bvi,Neural-BVI,20,60,0.08124852094256309,0.01984627769964295,0.14794268763313692,0.043855391983315256,0.042392020786650754,0.009925409674441174,0.9446172078450521,0.04044849569158036,0.0342510986328125,0.02217921318578532,0.04182408056247475,0.01009398780430944,0.3101434707257839,0.20588393266167068,0.017160406331883385,0.006645615661740266,37.0,0.0,44.91018716494242,6.0451660901943916
