ause,bvi_std_mean,calibrated_coverage_95,calibrated_coverage_error,calibrated_gaussian_crps,calibrated_gaussian_nll,calibrated_mpiw_95,calibrated_sample_quantile_coverage_95,calibration_scale,components,coverage_95,crps,data_misfit,ensemble_dispersion_scale,epsilon_mae,epsilon_rmse,event_auprc,event_auroc,event_brier,event_ece,event_prevalence,final_objective,gaussian_nll,global_index,mc_dropout_dispersion_scale,method,mixture_effective_components,mixture_max_weight,model_name,mpiw_95,neural_center,noise_std,normalized_rmse,physics_evaluations,posterior_mean_alpha,posterior_mean_line_search,posterior_mean_policy,posterior_mean_projection_max_error,posterior_mean_selected_label,posterior_precision_condition,posterior_precision_data_trace,posterior_sample_std_mean,posterior_std_prior_actual_mean,posterior_std_prior_requested_mean,posterior_std_prior_scale,sample_quantile_coverage_95,snr_db,split,stage_line_search_gains,stage_line_search_objectives,stage_new_weights,std_error_spearman,trust_std,view,wall_seconds
,,,,,,,,,,,,0.2289615273475647,,0.48413220047950745,0.6871001720428467,,,,,,,,923,,nn,,,model_924.mat,,,,0.08588752150535583,1,,,,,,,,,,,,,0.0,test,,,,,,mixed_0db,0.6800916194915771
0.016120696306306855,,0.9516754150390625,0.0016754150390625444,0.043809825388820875,-1.1714763418586625,0.3503627240793957,0.937530517578125,7.976083234617511,,0.1740264892578125,0.05598980903711111,0.2284260392189026,,0.49371245044771206,0.692058338676527,0.7501002032269869,0.9366476698251216,0.006628214518229167,0.006243896484375001,0.02252197265625,,26.689396059927333,923,,mc_dropout,,,model_924.mat,0.04392666347359672,,,0.08650729233456587,1,,,,,,,,,,,,0.15777587890625,0.0,test,,,,0.3748223991860645,,mixed_0db,0.720794677734375
0.019502703783657312,,0.9234619140625,0.026538085937499956,0.049567552458772035,-0.9709095629135932,0.37939911361716927,0.7787017822265625,4.708565913660769,,0.2800445556640625,0.060137057945364635,0.22188742458820343,,0.551391074217554,0.7032878966807042,0.8727402892992044,0.9611329613920554,0.0043853759765625,0.002523803710937499,0.02252197265625,,11.753245215662803,923,,deep_ensemble,,,model_924.mat,0.08057636245835975,,,0.08791098708508803,1,,,,,,,,,,,,0.207763671875,0.0,test,,,,0.3223343766777741,,mixed_0db,0.5335042476654053
,,,,,,,,,0,,,0.22851744294166565,,0.4852633476257324,0.6876152157783508,,,,,,1.012729287147522,,923,,residual_map,,,model_924.mat,,,,0.08595190197229385,7,,,,,,1.0,0.0,,,,,,0.0,test,,,,,0.03,mixed_0db,8.18875789642334
0.01676224053346318,,0.9775390625,0.027539062500000044,0.04811458828858141,-0.9799104600667407,0.5116546617922777,0.976348876953125,1.912344593926287,0,0.9032745361328125,0.043227531134321845,0.2306068241596222,,0.48005428882911794,0.6838513549626375,0.7369497083101895,0.9075067137262068,0.01918825786560774,0.06538331508636475,0.02252197265625,1.012722373008728,-0.924887304577279,923,,residual_laplace,,,model_924.mat,0.26755359021679126,,,0.08548141937032969,31,,,,,,1.8307555984872332,5.7060651103264055,,,,,0.8986968994140625,0.0,test,,,,0.44120486417699134,0.03,mixed_0db,18.270562887191772
0.011497721601885074,0.09185443073511124,0.9310455322265625,0.018954467773437456,0.045603621829174185,-1.170970228172215,0.2717216021001814,0.8519287109375,0.8191470054346994,2,0.9648590087890625,0.04604991869870267,0.2168421447277069,1.8,0.5350919833631966,0.6903989813118349,0.8747947267084767,0.9518979919739878,0.010240532457828522,0.04315638542175292,0.02252197265625,1.0933746099472046,-1.1901855293279702,923,7.5,neural_bvi,1.64938485622406,0.800000011920929,model_924.mat,0.3317128675285653,ensemble_calibrated,0.1627885103225708,0.08629987266397936,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.22188742458820343}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.2168421894311905}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.21685470640659332}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.2167966663837433}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.21682235598564148}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.21685534715652466}]",physics_line_search,1.7881393432617188e-07,center,,,0.06948837637901306,0.0846206322312355,0.0846206322312355,0.75,0.9189453125,0.0,test,"[0.0, 0.00037682056427001953]","[1.0218340121209621, 1.0933746099472046]","[1.0, 0.2]",0.5832015868652545,0.03,mixed_0db,37.378663539886475
,,,,,,,,,,,,0.18281587958335876,,0.5124538540840149,0.7259436845779419,,,,,,,,923,,nn,,,model_924.mat,,,,0.09074296057224274,1,,,,,,,,,,,,,5.0,test,,,,,,mixed_5db,0.5063321590423584
0.018187722893001565,,0.93914794921875,0.010852050781249956,0.04660986262673418,-1.1006026136708287,0.3517306380937171,0.92181396484375,7.976083234617511,,0.1925201416015625,0.0593331111488758,0.1828862577676773,,0.5197617235248572,0.7295345368131086,0.7308398170137204,0.9215302473037219,0.00670135498046875,0.006265258789062502,0.02252197265625,,30.853692719089903,923,,mc_dropout,,,model_924.mat,0.04409816543281468,,,0.09119181710163858,1,,,,,,,,,,,,0.1776885986328125,5.0,test,,,,0.3321988153433571,,mixed_5db,0.7629108428955078
0.021688233647623716,,0.8977508544921875,0.052249145507812456,0.05281853150777964,-0.9055083709273936,0.3852539972588992,0.7320556640625,4.708565913660769,,0.29522705078125,0.06328866375079997,0.17215962707996368,,0.577251451983193,0.7388219268961272,0.8880230530816072,0.9710808358864107,0.0038946533203125006,0.0024444580078125,0.02252197265625,,13.196783239499258,923,,deep_ensemble,,,model_924.mat,0.08181981612224307,,,0.0923527408620159,1,,,,,,,,,,,,0.221588134765625,5.0,test,,,,0.3026646934294572,,mixed_5db,0.6038403511047363
,,,,,,,,,0,,,0.1812254935503006,,0.5164502859115601,0.7309211492538452,,,,,,2.042240619659424,,923,,residual_map,,,model_924.mat,,,,0.09136514365673065,7,,,,,,1.0,0.0,,,,,,5.0,test,,,,,0.03,mixed_5db,7.421881675720215
